concept_name,cancer_type
Primary malignant neoplasm of pancreas,pancreas
Primary malignant neoplasm of female breast,breast
Primary malignant neoplasm of colon,colon/rectal
Primary malignant neoplasm of respiratory tract,lung/respiratory tract/pleura
B-cell chronic lymphocytic leukemia,leukemia
Malignant neuroendocrine tumor,neuroendocrine
Multiple myeloma,multiple myeloma
Myelodysplastic syndrome (clinical),myelodysplastic syndromes
Primary malignant neoplasm of prostate,prostate
Primary malignant neoplasm of large intestine,colon/rectal
Primary malignant neoplasm of kidney,kidney
Primary malignant neoplasm of rectum,colon/rectal
Mycosis fungoides of extranodal AND/OR solid organ site,lymphoma/lymphoid
Primary malignant neoplasm of conjunctiva of eye,eye/ocular
Malignant neoplastic disease,unknown
Overlapping malignant neoplasm of floor of mouth,head and neck
"Chronic lymphoid leukemia, disease",leukemia
Leukemia,leukemia
Non-Hodgkin's lymphoma (clinical),lymphoma/lymphoid
Primary malignant neoplasm of liver,liver
Primary malignant neoplasm of head of pancreas,pancreas
Primary malignant neoplasm of uterine cervix,cervical
Liver cell carcinoma,liver
Primary malignant neoplasm of frontal lobe,brain
Squamous cell carcinoma of skin,skin
Primary malignant neoplasm of renal pelvis,urinary tract/bladder
Burkitt's tumor of extranodal AND/OR solid organ site,lymphoma/lymphoid
Acute leukemia,leukemia
Primary malignant neoplasm of nasal cavity,head and neck
Primary malignant neoplasm of brain,brain
Primary malignant neoplasm of ribs and/or sternum and/or clavicle,bone
Primary malignant neoplasm of ovary,ovarian
Primary malignant neoplasm of bladder,urinary tract/bladder
Primary malignant neoplasm of the peritoneum,peritoneal
Primary malignant neoplasm of sigmoid colon,colon/rectal
Malignant lymphoma,lymphoma/lymphoid
"Malignant neoplasm of tongue, tip and lateral border",head and neck
"Acute myeloid leukemia, disease",leukemia
Primary malignant neoplasm of descending colon,colon/rectal
Primary malignant neoplasm of skin,skin
Primary malignant neoplasm,unknown
Diffuse large B-cell lymphoma (nodal/systemic with skin involvement),lymphoma/lymphoid
Primary malignant neoplasm of vulva,vulvar
Primary malignant neoplasm of thyroid gland,thyroid
Malignant neoplasm of upper lobe of lung,lung/respiratory tract/pleura
Primary malignant neoplasm of tonsil,head and neck
Primary malignant neoplasm of skin of trunk,skin
Primary malignant neoplasm of lower third of esophagus,esophagus
Primary malignant neoplasm of temporal lobe,brain
"Hodgkin's disease of lymph nodes of head, face AND/OR neck",lymphoma/lymphoid
"Malignant neoplasm, overlapping lesion of cervix uteri",cervical
Acute lymphoid leukemia,leukemia
Primary malignant neoplasm of retroperitoneum,soft tissue sarcoma
Primary malignant neoplasm of upper outer quadrant of female breast,breast
Lymphoid leukemia,leukemia
Primary malignant neoplasm of larynx,head and neck
Chronic lymphoid leukemia in remission,leukemia
Squamous cell carcinoma of skin of face,skin
Malignant melanoma of skin,skin
Primary malignant neoplasm of upper inner quadrant of female breast,breast
Primary malignant neoplasm of anterior two-thirds of tongue,head and neck
Primary malignant neoplasm of skin of face,skin
Primary malignant neoplasm of retina,eye/ocular
"Lymphosarcoma of lymph nodes of head, face and neck",lymphoma/lymphoid
Hodgkin's disease (clinical),lymphoma/lymphoid
Primary malignant neoplasm of intrahepatic bile duct,hepatobiliary
"Malignant neoplasm of corpus uteri, excluding isthmus",uterine/endometrial
Chronic myeloid leukemia,leukemia
Primary malignant neoplasm of spermatic cord,male genital
Primary malignant neoplasm of soft tissues,soft tissue sarcoma
Primary malignant neoplasm of mandible,bone
Primary malignant neoplasm of gallbladder,gallbladder
Primary malignant neoplasm of skin of upper limb,skin
Primary malignant neoplasm of urethra,urinary tract/bladder
Primary malignant neoplasm of cerebrum,brain
Primary malignant neoplasm of uterus,uterine/endometrial
Waldenström macroglobulinemia,lymphoma/lymphoid
"Malignant lymphoma of lymph nodes of head, face AND/OR neck",lymphoma/lymphoid
Multiple myeloma in remission,multiple myeloma
Malignant neoplasm of thorax,unknown
Primary malignant neoplasm of trigone of urinary bladder,urinary tract/bladder
Primary malignant neoplasm of endometrium,uterine/endometrial
Primary malignant neoplasm of tail of pancreas,pancreas
"Malignant tumor of soft tissue of head, face and neck",soft tissue sarcoma
Mantle cell lymphoma,lymphoma/lymphoid
Primary malignant neoplasm of posterior wall of urinary bladder,urinary tract/bladder
Primary malignant neoplasm of esophagus,esophagus
Squamous cell carcinoma of skin of lower extremity,skin
